Condition,SourceEntity,Permission,Target
IpAddress==192.168.1.1,Role232,Execute,Datastore195
Time==09:00-17:00,User20,Assume_Role,Role31
Time==09:00-17:00,Role71,Full_Control,Datastore109
Time==09:00-17:00,Role45,Write,Datastore123
IpAddress==192.168.1.1,Role45,Execute,Datastore2
IpAddress==192.168.1.1,User3,Assume_Role,Role119
IpAddress==192.168.1.1,User5,Assume_Role,Role120
Time==09:00-17:00,Role182,Write,Datastore59
,Role101,Read,Datastore73
IpAddress==192.168.1.1,Role122,Full_Control,Datastore292
IpAddress==192.168.1.1,Role204,Execute,Datastore156
IpAddress==192.168.1.1,User6,Assume_Role,Role21
,User2,Assume_Role,Role47
,Role102,Read,Compute296
Time==09:00-17:00,User18,Assume_Role,Role93
IpAddress==192.168.1.1,User6,Assume_Role,Role241
,User21,Assume_Role,Role54
Time==09:00-17:00,Group3,Assume_Role,Role148
IpAddress==192.168.1.1,User15,Part_Of,Group1
Time==09:00-17:00,User8,Assume_Role,Role207
,Role242,Execute,Datastore237
Time==09:00-17:00,Role230,Execute,Datastore186
Time==09:00-17:00,User7,Part_Of,Group3
,Role112,Execute,Compute225
Time==09:00-17:00,Role87,Full_Control,Datastore82
,Role247,Read,Datastore209
IpAddress==192.168.1.1,Role201,Write,Datastore61
IpAddress==192.168.1.1,User27,Assume_Role,Role248
IpAddress==192.168.1.1,Role198,Write,Compute283
IpAddress==192.168.1.1,Role225,Read,Compute70
,Group4,Assume_Role,Role137
IpAddress==192.168.1.1,Group3,Assume_Role,Role77
IpAddress==192.168.1.1,User22,Assume_Role,Role194
Time==09:00-17:00,User23,Part_Of,Group2
IpAddress==192.168.1.1,User28,Part_Of,Group7
IpAddress==192.168.1.1,Role127,Execute,Compute243
Time==09:00-17:00,Role218,Write,Datastore19
IpAddress==192.168.1.1,User28,Part_Of,Group7
Time==09:00-17:00,Role234,Read,Datastore234
IpAddress==192.168.1.1,Role174,Read,Datastore80
IpAddress==192.168.1.1,User26,Assume_Role,Role42
Time==09:00-17:00,Group3,Assume_Role,Role19
Time==09:00-17:00,Role85,Write,Datastore148
IpAddress==192.168.1.1,Role187,Read,Compute51
IpAddress==192.168.1.1,Role118,Read,Compute15
IpAddress==192.168.1.1,Role115,Full_Control,Compute184
Time==09:00-17:00,Role90,Execute,Datastore272
Time==09:00-17:00,Role52,Read,Compute90
,User16,Part_Of,Group5
IpAddress==192.168.1.1,Role201,Execute,Datastore131
,Role203,Write,Datastore148
Time==09:00-17:00,User20,Assume_Role,Role218
IpAddress==192.168.1.1,User20,Assume_Role,Role102
Time==09:00-17:00,User8,Part_Of,Group4
Time==09:00-17:00,User19,Assume_Role,Role12
Time==09:00-17:00,User1,Assume_Role,Role26
,User15,Assume_Role,Role181
Time==09:00-17:00,Role93,Read,Compute71
Time==09:00-17:00,Role123,Read,Datastore226
IpAddress==192.168.1.1,User3,Part_Of,Group3
Time==09:00-17:00,User7,Part_Of,Group2
IpAddress==192.168.1.1,User11,Assume_Role,Role132
,User8,Assume_Role,Role240
,Role80,Full_Control,Compute204
,User9,Part_Of,Group5
Time==09:00-17:00,User17,Assume_Role,Role196
IpAddress==192.168.1.1,User22,Part_Of,Group2
Time==09:00-17:00,Role252,Write,Compute168
,Role202,Execute,Datastore155
IpAddress==192.168.1.1,User24,Full_Control,Datastore20
IpAddress==192.168.1.1,Role14,Write,Compute121
Time==09:00-17:00,Group6,Assume_Role,Role215
Time==09:00-17:00,Role177,Execute,Compute51
,User3,Assume_Role,Role190
,User16,Assume_Role,Role186
IpAddress==192.168.1.1,User4,Assume_Role,Role204
Time==09:00-17:00,Role27,Read,Datastore233
,User11,Full_Control,Compute26
Time==09:00-17:00,Role254,Read,Datastore106
,Role75,Full_Control,Datastore120
Time==09:00-17:00,Role106,Write,Compute75
,User4,Part_Of,Group6
Time==09:00-17:00,User8,Write,Compute184
,User6,Part_Of,Group3
Time==09:00-17:00,Role180,Read,Compute270
Time==09:00-17:00,Role208,Full_Control,Datastore230
Time==09:00-17:00,Role196,Write,Datastore258
Time==09:00-17:00,Role231,Execute,Datastore155
IpAddress==192.168.1.1,Group3,Execute,Datastore246
,Role216,Read,Compute228
IpAddress==192.168.1.1,User3,Part_Of,Group2
IpAddress==192.168.1.1,Group5,Assume_Role,Role151
,User26,Part_Of,Group6
IpAddress==192.168.1.1,Role185,Write,Datastore232
Time==09:00-17:00,User26,Assume_Role,Role213
Time==09:00-17:00,Role125,Full_Control,Datastore219
,User10,Assume_Role,Role243
,Role8,Execute,Datastore48
Time==09:00-17:00,User18,Part_Of,Group1
Time==09:00-17:00,User14,Part_Of,Group3
IpAddress==192.168.1.1,User10,Part_Of,Group5
,User19,Part_Of,Group5
IpAddress==192.168.1.1,Role211,Read,Compute115
Time==09:00-17:00,User25,Part_Of,Group3
Time==09:00-17:00,Role184,Read,Compute288
Time==09:00-17:00,User6,Part_Of,Group3
,User23,Assume_Role,Role4
,Role254,Read,Compute206
IpAddress==192.168.1.1,Role11,Write,Datastore272
IpAddress==192.168.1.1,User22,Assume_Role,Role81
,User6,Assume_Role,Role27
IpAddress==192.168.1.1,User26,Full_Control,Datastore42
IpAddress==192.168.1.1,User29,Assume_Role,Role213
IpAddress==192.168.1.1,Role227,Full_Control,Datastore59
,Role110,Full_Control,Compute250
,Role167,Read,Compute29
IpAddress==192.168.1.1,User25,Part_Of,Group2
IpAddress==192.168.1.1,User8,Assume_Role,Role4
Time==09:00-17:00,User5,Part_Of,Group4
,Role221,Full_Control,Compute287
IpAddress==192.168.1.1,User14,Part_Of,Group1
Time==09:00-17:00,Role125,Execute,Compute295
IpAddress==192.168.1.1,User19,Assume_Role,Role59
Time==09:00-17:00,Role131,Execute,Datastore88
,User14,Part_Of,Group7
IpAddress==192.168.1.1,Role188,Read,Compute206
,User15,Assume_Role,Role171
IpAddress==192.168.1.1,Role226,Write,Datastore59
,User8,Part_Of,Group1
,User6,Part_Of,Group5
Time==09:00-17:00,Role55,Execute,Datastore253
IpAddress==192.168.1.1,User21,Assume_Role,Role78
IpAddress==192.168.1.1,Role205,Full_Control,Datastore227
IpAddress==192.168.1.1,Role145,Read,Datastore260
IpAddress==192.168.1.1,User3,Assume_Role,Role30
,User21,Part_Of,Group7
IpAddress==192.168.1.1,Group7,Assume_Role,Role22
,Role129,Write,Datastore244
IpAddress==192.168.1.1,User26,Part_Of,Group7
,Role223,Read,Datastore89
IpAddress==192.168.1.1,Group5,Assume_Role,Role82
IpAddress==192.168.1.1,User25,Assume_Role,Role210
,Role136,Full_Control,Datastore34
IpAddress==192.168.1.1,User17,Assume_Role,Role77
IpAddress==192.168.1.1,Role263,Full_Control,Datastore73
,User20,Part_Of,Group6
Time==09:00-17:00,User22,Assume_Role,Role66
,Role181,Full_Control,Compute261
IpAddress==192.168.1.1,User12,Assume_Role,Role110
,User8,Part_Of,Group2
Time==09:00-17:00,Role116,Read,Compute52
,User20,Part_Of,Group4
,Role57,Execute,Compute85
Time==09:00-17:00,User16,Assume_Role,Role228
IpAddress==192.168.1.1,User15,Assume_Role,Role123
Time==09:00-17:00,User12,Part_Of,Group6
Time==09:00-17:00,User19,Assume_Role,Role196
Time==09:00-17:00,User27,Part_Of,Group2
IpAddress==192.168.1.1,Role93,Execute,Datastore27
,Role229,Full_Control,Compute64
IpAddress==192.168.1.1,Role104,Write,Datastore231
,Role78,Full_Control,Datastore231
IpAddress==192.168.1.1,User13,Part_Of,Group5
,Role162,Full_Control,Datastore42
,Role128,Full_Control,Compute51
Time==09:00-17:00,User20,Execute,Datastore147
,Role205,Read,Datastore230
Time==09:00-17:00,Role96,Write,Datastore111
,User25,Part_Of,Group3
IpAddress==192.168.1.1,User2,Part_Of,Group2
IpAddress==192.168.1.1,User4,Part_Of,Group7
Time==09:00-17:00,Role228,Write,Compute295
Time==09:00-17:00,Role114,Read,Datastore220
,User19,Part_Of,Group4
Time==09:00-17:00,Role233,Read,Datastore185
Time==09:00-17:00,Role164,Read,Compute241
IpAddress==192.168.1.1,User17,Assume_Role,Role9
Time==09:00-17:00,Role141,Read,Datastore124
Time==09:00-17:00,User2,Part_Of,Group3
Time==09:00-17:00,User27,Part_Of,Group7
,User12,Assume_Role,Role70
,User10,Part_Of,Group2
Time==09:00-17:00,User22,Full_Control,Datastore162
Time==09:00-17:00,User17,Assume_Role,Role19
Time==09:00-17:00,Role111,Read,Compute183
IpAddress==192.168.1.1,User8,Assume_Role,Role189
,User25,Assume_Role,Role174
,User24,Assume_Role,Role137
,User14,Part_Of,Group5
IpAddress==192.168.1.1,User7,Assume_Role,Role41
,User29,Assume_Role,Role219
Time==09:00-17:00,User29,Assume_Role,Role22
,User18,Assume_Role,Role30
,Group4,Assume_Role,Role82
,Role189,Write,Compute18
Time==09:00-17:00,Role152,Execute,Datastore186
IpAddress==192.168.1.1,Role43,Full_Control,Datastore231
Time==09:00-17:00,User19,Part_Of,Group2
,User21,Assume_Role,Role143
Time==09:00-17:00,User14,Execute,Compute96
IpAddress==192.168.1.1,User9,Part_Of,Group7
Time==09:00-17:00,User20,Part_Of,Group3
,User4,Part_Of,Group2
IpAddress==192.168.1.1,User29,Part_Of,Group6
Time==09:00-17:00,Role128,Read,Compute178
IpAddress==192.168.1.1,User11,Assume_Role,Role90
,Role27,Write,Datastore103
Time==09:00-17:00,User12,Part_Of,Group5
Time==09:00-17:00,Group7,Assume_Role,Role67
Time==09:00-17:00,Group5,Execute,Datastore159
,User27,Assume_Role,Role38
Time==09:00-17:00,User15,Part_Of,Group4
Time==09:00-17:00,User29,Part_Of,Group7
,Role31,Read,Datastore222
IpAddress==192.168.1.1,Role120,Write,Compute85
,Role142,Full_Control,Datastore266
IpAddress==192.168.1.1,User21,Part_Of,Group5
Time==09:00-17:00,Role120,Read,Datastore274
Time==09:00-17:00,Role262,Write,Compute79
,User27,Part_Of,Group7
Time==09:00-17:00,User24,Full_Control,Compute296
IpAddress==192.168.1.1,Role257,Read,Compute214
Time==09:00-17:00,Group2,Assume_Role,Role126
Time==09:00-17:00,Group1,Assume_Role,Role38
IpAddress==192.168.1.1,Role45,Execute,Datastore226
,User11,Part_Of,Group5
,User23,Assume_Role,Role205
IpAddress==192.168.1.1,User11,Part_Of,Group2
,Role101,Write,Datastore231
Time==09:00-17:00,User26,Execute,Datastore149
IpAddress==192.168.1.1,User28,Part_Of,Group2
IpAddress==192.168.1.1,User25,Part_Of,Group2
,User20,Assume_Role,Role255
,Role166,Execute,Compute259
,Role263,Read,Datastore181
Time==09:00-17:00,Group2,Assume_Role,Role147
IpAddress==192.168.1.1,Role20,Write,Compute221
IpAddress==192.168.1.1,User24,Assume_Role,Role24
IpAddress==192.168.1.1,Role256,Write,Compute288
IpAddress==192.168.1.1,User13,Part_Of,Group5
IpAddress==192.168.1.1,User5,Part_Of,Group1
,Group7,Assume_Role,Role188
,Role225,Read,Compute206
Time==09:00-17:00,Role35,Execute,Compute171
,User20,Part_Of,Group5
Time==09:00-17:00,User11,Assume_Role,Role202
Time==09:00-17:00,Group4,Assume_Role,Role261
IpAddress==192.168.1.1,Group2,Assume_Role,Role9
IpAddress==192.168.1.1,User14,Part_Of,Group5
Time==09:00-17:00,Role207,Write,Compute136
Time==09:00-17:00,Role263,Write,Datastore246
,User27,Part_Of,Group6
,Role258,Write,Compute57
IpAddress==192.168.1.1,User27,Assume_Role,Role78
Time==09:00-17:00,Role175,Execute,Datastore257
Time==09:00-17:00,Role35,Write,Datastore266
IpAddress==192.168.1.1,Group5,Assume_Role,Role193
Time==09:00-17:00,Role200,Full_Control,Compute273
,Group2,Assume_Role,Role99
IpAddress==192.168.1.1,User15,Assume_Role,Role153
IpAddress==192.168.1.1,Role215,Execute,Datastore163
IpAddress==192.168.1.1,User8,Assume_Role,Role195
IpAddress==192.168.1.1,User10,Part_Of,Group1
Time==09:00-17:00,Role142,Full_Control,Datastore227
Time==09:00-17:00,User7,Part_Of,Group7
Time==09:00-17:00,User9,Assume_Role,Role56
Time==09:00-17:00,Role89,Write,Compute26
IpAddress==192.168.1.1,User27,Execute,Compute52
,User22,Part_Of,Group7
Time==09:00-17:00,Role246,Execute,Compute81
IpAddress==192.168.1.1,User13,Assume_Role,Role148
Time==09:00-17:00,User25,Part_Of,Group1
IpAddress==192.168.1.1,Role238,Write,Datastore20
,User19,Execute,Compute204
Time==09:00-17:00,User1,Part_Of,Group3
Time==09:00-17:00,Role136,Execute,Compute146
IpAddress==192.168.1.1,User28,Part_Of,Group5
IpAddress==192.168.1.1,User26,Part_Of,Group1
,Role199,Write,Compute132
Time==09:00-17:00,User13,Assume_Role,Role90
,Group4,Assume_Role,Role168
IpAddress==192.168.1.1,User6,Part_Of,Group2
IpAddress==192.168.1.1,User1,Part_Of,Group3
IpAddress==192.168.1.1,Role193,Full_Control,Datastore137
,Role98,Write,Datastore185
IpAddress==192.168.1.1,Role203,Write,Datastore158
IpAddress==192.168.1.1,User21,Part_Of,Group3
,Role77,Execute,Datastore69
Time==09:00-17:00,User27,Assume_Role,Role242
Time==09:00-17:00,Role91,Execute,Datastore42
,User19,Part_Of,Group1
,Role258,Write,Datastore275
Time==09:00-17:00,User8,Assume_Role,Role106
IpAddress==192.168.1.1,User29,Part_Of,Group5
IpAddress==192.168.1.1,Role197,Execute,Datastore68
Time==09:00-17:00,Role251,Full_Control,Datastore237
Time==09:00-17:00,Role167,Read,Datastore131
IpAddress==192.168.1.1,Role261,Read,Datastore38
,User18,Part_Of,Group1
,User10,Part_Of,Group4
IpAddress==192.168.1.1,Role180,Execute,Datastore192
Time==09:00-17:00,User6,Assume_Role,Role69
IpAddress==192.168.1.1,User6,Part_Of,Group5
IpAddress==192.168.1.1,Role79,Read,Datastore2
,Group6,Assume_Role,Role195
IpAddress==192.168.1.1,Role200,Write,Compute178
Time==09:00-17:00,Role22,Execute,Compute17
,Role88,Read,Datastore106
Time==09:00-17:00,Role193,Write,Datastore25
Time==09:00-17:00,Role170,Write,Compute225
,User29,Full_Control,Compute72
,User16,Assume_Role,Role155
,Role176,Full_Control,Datastore154
,Role183,Execute,Datastore285
Time==09:00-17:00,Group5,Assume_Role,Role164
IpAddress==192.168.1.1,User10,Assume_Role,Role154
,Role240,Write,Compute243
,User26,Part_Of,Group4
IpAddress==192.168.1.1,Group7,Assume_Role,Role69
Time==09:00-17:00,Role95,Full_Control,Compute105
Time==09:00-17:00,Role195,Read,Datastore190
Time==09:00-17:00,User27,Execute,Compute138
IpAddress==192.168.1.1,Role2,Write,Datastore97
,Role135,Read,Datastore156
Time==09:00-17:00,Role25,Write,Datastore246
IpAddress==192.168.1.1,Role168,Full_Control,Datastore123
IpAddress==192.168.1.1,Group6,Assume_Role,Role184
IpAddress==192.168.1.1,Group4,Assume_Role,Role255
IpAddress==192.168.1.1,Role205,Write,Compute164
Time==09:00-17:00,User3,Assume_Role,Role114
IpAddress==192.168.1.1,User9,Execute,Datastore134
IpAddress==192.168.1.1,Role65,Write,Datastore169
IpAddress==192.168.1.1,Role220,Full_Control,Compute282
Time==09:00-17:00,Group1,Assume_Role,Role87
Time==09:00-17:00,User5,Part_Of,Group6
Time==09:00-17:00,User29,Part_Of,Group5
Time==09:00-17:00,Role233,Read,Compute18
Time==09:00-17:00,User4,Write,Datastore212
,Group6,Read,Compute78
Time==09:00-17:00,User4,Assume_Role,Role248
Time==09:00-17:00,User1,Part_Of,Group5
Time==09:00-17:00,User1,Part_Of,Group5
Time==09:00-17:00,User2,Assume_Role,Role258
Time==09:00-17:00,User4,Part_Of,Group1
IpAddress==192.168.1.1,Role88,Full_Control,Compute99
IpAddress==192.168.1.1,User6,Assume_Role,Role192
IpAddress==192.168.1.1,User23,Part_Of,Group2
IpAddress==192.168.1.1,User17,Execute,Datastore48
Time==09:00-17:00,User4,Assume_Role,Role5
Time==09:00-17:00,Role7,Execute,Datastore256
,User29,Part_Of,Group5
IpAddress==192.168.1.1,Role73,Execute,Compute291
,Role3,Read,Compute144
,User7,Part_Of,Group5
Time==09:00-17:00,User10,Part_Of,Group2
IpAddress==192.168.1.1,Role255,Full_Control,Datastore200
,Role5,Full_Control,Datastore257
IpAddress==192.168.1.1,Role188,Read,Datastore119
IpAddress==192.168.1.1,User2,Assume_Role,Role140
IpAddress==192.168.1.1,User12,Part_Of,Group5
Time==09:00-17:00,User22,Part_Of,Group5
IpAddress==192.168.1.1,User25,Part_Of,Group5
,Role2,Full_Control,Datastore43
IpAddress==192.168.1.1,User24,Part_Of,Group4
IpAddress==192.168.1.1,User3,Part_Of,Group1
,User18,Assume_Role,Role53
Time==09:00-17:00,Role60,Execute,Compute221
IpAddress==192.168.1.1,User1,Part_Of,Group1
IpAddress==192.168.1.1,Role131,Read,Datastore198
Time==09:00-17:00,User6,Assume_Role,Role125
IpAddress==192.168.1.1,Role159,Write,Compute87
,Group3,Assume_Role,Role75
IpAddress==192.168.1.1,Role187,Execute,Compute142
,User12,Part_Of,Group3
,User15,Part_Of,Group1
Time==09:00-17:00,User13,Part_Of,Group3
IpAddress==192.168.1.1,User29,Assume_Role,Role172
IpAddress==192.168.1.1,Role118,Write,Compute165
IpAddress==192.168.1.1,User13,Part_Of,Group3
IpAddress==192.168.1.1,User11,Part_Of,Group4
Time==09:00-17:00,User8,Assume_Role,Role103
Time==09:00-17:00,Role246,Execute,Datastore14
IpAddress==192.168.1.1,Role189,Read,Datastore150
,User21,Part_Of,Group3
IpAddress==192.168.1.1,User23,Part_Of,Group4
Time==09:00-17:00,Role194,Execute,Datastore246
Time==09:00-17:00,User26,Part_Of,Group3
,Role20,Full_Control,Datastore128
IpAddress==192.168.1.1,Role253,Full_Control,Compute205
,User6,Full_Control,Compute51
IpAddress==192.168.1.1,Role193,Execute,Datastore192
,Role141,Execute,Datastore13
Time==09:00-17:00,User6,Assume_Role,Role60
IpAddress==192.168.1.1,Role143,Full_Control,Datastore160
IpAddress==192.168.1.1,Role231,Full_Control,Compute248
,Role189,Full_Control,Datastore232
,User26,Part_Of,Group6
Time==09:00-17:00,Role140,Write,Datastore56
IpAddress==192.168.1.1,Role229,Write,Compute90
Time==09:00-17:00,User15,Assume_Role,Role208
,Role60,Execute,Datastore222
,Role195,Execute,Datastore220
Time==09:00-17:00,Role70,Read,Compute143
IpAddress==192.168.1.1,Role239,Full_Control,Compute96
Time==09:00-17:00,Role199,Full_Control,Datastore59
Time==09:00-17:00,User25,Assume_Role,Role201
Time==09:00-17:00,Role143,Execute,Datastore181
IpAddress==192.168.1.1,Role117,Write,Datastore44
,Role87,Read,Datastore157
IpAddress==192.168.1.1,User17,Part_Of,Group4
,Role259,Execute,Compute197
IpAddress==192.168.1.1,User18,Part_Of,Group2
IpAddress==192.168.1.1,User6,Part_Of,Group3
,Role148,Execute,Datastore5
IpAddress==192.168.1.1,Role161,Execute,Compute288
,User29,Assume_Role,Role251
IpAddress==192.168.1.1,Role254,Write,Datastore16
,Role105,Full_Control,Datastore116
,Group7,Assume_Role,Role262
Time==09:00-17:00,Role102,Full_Control,Datastore279
IpAddress==192.168.1.1,Role190,Write,Compute280
IpAddress==192.168.1.1,Role91,Read,Datastore153
,User6,Assume_Role,Role225
,Role72,Execute,Datastore180
Time==09:00-17:00,Role70,Read,Datastore106
IpAddress==192.168.1.1,Group6,Assume_Role,Role87
Time==09:00-17:00,User18,Assume_Role,Role264
IpAddress==192.168.1.1,Role34,Read,Compute211
Time==09:00-17:00,Role32,Write,Datastore128
Time==09:00-17:00,User25,Part_Of,Group7
Time==09:00-17:00,User10,Assume_Role,Role138
Time==09:00-17:00,User29,Assume_Role,Role39
Time==09:00-17:00,Role171,Full_Control,Compute264
Time==09:00-17:00,Group3,Assume_Role,Role168
,Role12,Full_Control,Datastore235
,User14,Part_Of,Group7
IpAddress==192.168.1.1,User21,Assume_Role,Role146
Time==09:00-17:00,Role254,Full_Control,Datastore249
,User24,Execute,Compute51
,Role45,Execute,Datastore226
Time==09:00-17:00,User23,Part_Of,Group2
,User28,Part_Of,Group3
Time==09:00-17:00,User6,Assume_Role,Role191
Time==09:00-17:00,User27,Full_Control,Datastore203
,Role184,Read,Datastore47
Time==09:00-17:00,Role209,Write,Compute40
,Role230,Read,Compute228
Time==09:00-17:00,User28,Part_Of,Group4
IpAddress==192.168.1.1,Role209,Write,Compute37
IpAddress==192.168.1.1,Role17,Full_Control,Datastore53
,User13,Part_Of,Group7
Time==09:00-17:00,Group7,Read,Datastore272
Time==09:00-17:00,Role190,Write,Datastore180
,Role175,Write,Datastore227
IpAddress==192.168.1.1,Role36,Execute,Compute64
IpAddress==192.168.1.1,User9,Assume_Role,Role127
Time==09:00-17:00,Role92,Full_Control,Compute284
Time==09:00-17:00,Role119,Write,Datastore106
IpAddress==192.168.1.1,User4,Assume_Role,Role123
Time==09:00-17:00,User8,Part_Of,Group4
IpAddress==192.168.1.1,Role235,Full_Control,Compute7
IpAddress==192.168.1.1,Role163,Execute,Datastore292
Time==09:00-17:00,Role206,Read,Datastore38
,User8,Write,Datastore135
Time==09:00-17:00,Role168,Full_Control,Datastore260
Time==09:00-17:00,User26,Assume_Role,Role43
,Role107,Full_Control,Datastore43
IpAddress==192.168.1.1,Role44,Full_Control,Datastore275
,Role123,Write,Datastore224
IpAddress==192.168.1.1,Role9,Read,Datastore223
,Role123,Read,Compute90
IpAddress==192.168.1.1,User6,Execute,Compute84
Time==09:00-17:00,User12,Part_Of,Group2
IpAddress==192.168.1.1,User25,Part_Of,Group1
IpAddress==192.168.1.1,Group5,Assume_Role,Role33
,Role219,Full_Control,Datastore234
IpAddress==192.168.1.1,User12,Part_Of,Group2
Time==09:00-17:00,Role258,Write,Datastore60
,User23,Write,Compute7
,User25,Assume_Role,Role77
IpAddress==192.168.1.1,Role248,Write,Compute215
,Role178,Full_Control,Compute164
,User17,Part_Of,Group6
IpAddress==192.168.1.1,Role79,Read,Compute265
IpAddress==192.168.1.1,Role203,Full_Control,Compute145
IpAddress==192.168.1.1,Role248,Read,Datastore234
Time==09:00-17:00,Role114,Full_Control,Datastore289
,Role202,Execute,Compute189
,Role42,Execute,Datastore4
IpAddress==192.168.1.1,Role242,Read,Compute178
,Role157,Read,Datastore158
,Role179,Read,Compute252
Time==09:00-17:00,User2,Part_Of,Group2
Time==09:00-17:00,Group1,Assume_Role,Role44
,Role223,Execute,Datastore69
IpAddress==192.168.1.1,Role187,Write,Datastore67
IpAddress==192.168.1.1,User26,Assume_Role,Role168
,User15,Assume_Role,Role39
,Role264,Write,Datastore56
IpAddress==192.168.1.1,Role195,Full_Control,Datastore239
IpAddress==192.168.1.1,Role239,Write,Compute184
,User17,Assume_Role,Role62
IpAddress==192.168.1.1,Role120,Write,Compute21
IpAddress==192.168.1.1,Role11,Full_Control,Datastore128
,Role118,Write,Datastore134
,Group7,Assume_Role,Role128
,User26,Part_Of,Group7
,User7,Write,Compute32
Time==09:00-17:00,Role170,Read,Compute191
,User1,Part_Of,Group1
IpAddress==192.168.1.1,User3,Part_Of,Group7
,User22,Read,Datastore237
IpAddress==192.168.1.1,Group3,Assume_Role,Role16
,User12,Part_Of,Group2
,User29,Assume_Role,Role77
Time==09:00-17:00,Role116,Execute,Datastore256
IpAddress==192.168.1.1,User3,Part_Of,Group3
Time==09:00-17:00,Role179,Write,Datastore103
Time==09:00-17:00,Role160,Execute,Compute184
IpAddress==192.168.1.1,Group4,Assume_Role,Role165
Time==09:00-17:00,User1,Part_Of,Group3
IpAddress==192.168.1.1,User16,Read,Compute144
,User6,Part_Of,Group1
,Role101,Read,Datastore274
,User12,Assume_Role,Role91
Time==09:00-17:00,User2,Assume_Role,Role181
Time==09:00-17:00,Role253,Execute,Datastore97
,User16,Part_Of,Group1
Time==09:00-17:00,Role84,Read,Datastore113
,User11,Part_Of,Group5
,Role139,Full_Control,Datastore91
Time==09:00-17:00,Role40,Read,Datastore73
Time==09:00-17:00,User12,Part_Of,Group6
